Date,,Payee,Amount,Memo,OrigPayee
9/21/2025,9/21/2025,RUMBO ESPIGON E T2,-11.72,SANTIAGO 13 CL PESO 7850.00 X 0.00149299,RUMBO ESPIGON E T2
9/22/2025,9/22/2025,SQ *RIDEYELLOW GARDENA CA,-36.24,US DOLLAR 25.48 X 1.42229199,SQ *RIDEYELLOW GARDENA CA
9/22/2025,9/22/2025,SQ *HIGHLAND LIQUOR,-23.49,HOLLYWOOD CA US DOLLAR 16.52 X 1.42191283,SQ *HIGHLAND LIQUOR
9/22/2025,9/22/2025,BELL CAB HAWTHORNE CA,-114.11,US DOLLAR 80.19 X 1.42299538,BELL CAB HAWTHORNE CA
9/22/2025,9/22/2025,STARBUCK T2 FC 281 LAX LOS,-28.24,ANGELES CA US DOLLAR 19.84 X 1.42338709,STARBUCK T2 FC 281 LAX LOS
9/22/2025,9/22/2025,HOLLYWOOD BAZAAR LOS,-9.24,ANGELES CA US DOLLAR 6.49 X 1.42372881,HOLLYWOOD BAZAAR LOS
9/22/2025,9/22/2025,7-ELEVEN 25599 LOS ANGELES CA,-30.10,US DOLLAR 21.16 X 1.42249527,7-ELEVEN 25599 LOS ANGELES CA
9/22/2025,9/22/2025,7-ELEVEN 39714 LOS ANGELES CA,-21.32,US DOLLAR 14.98 X 1.42323097,7-ELEVEN 39714 LOS ANGELES CA
9/22/2025,9/22/2025,TST* CABO CANTINA - HO LOS,-53.78,ANGELES CA US DOLLAR 37.81 X 1.42237503,TST* CABO CANTINA - HO LOS
9/22/2025,9/22/2025,CAFE CANCUN CENTRAL LA CA,-45.66,US DOLLAR 32.10 X 1.42242990,CAFE CANCUN CENTRAL LA CA
9/22/2025,9/22/2025,GREEK THEATRE LOS ANGELES CA,-42.10,US DOLLAR 29.60 X 1.42229729,GREEK THEATRE LOS ANGELES CA
9/23/2025,9/23/2025,ASSOCIATED CAB ALLIED CALGARY,-85.32,AB,ASSOCIATED CAB ALLIED CALGARY
9/23/2025,9/23/2025,BEST WESTERN HOLLYWOOD,-199.22,HOLLYWOOD CA US DOLLAR 140.00 X 1.42300000,BEST WESTERN HOLLYWOOD
9/23/2025,9/23/2025,LAX UNIVISION LOS ANGELES CA,-5.25,US DOLLAR 3.69 X 1.42276422,LAX UNIVISION LOS ANGELES CA
9/23/2025,9/23/2025,76 - YRT INC LOS ANGELES CA,-16.74,US DOLLAR 11.77 X 1.42225998,76 - YRT INC LOS ANGELES CA
9/23/2025,9/23/2025,CAFE CANCUN CENTRAL LA CA,-38.56,US DOLLAR 27.11 X 1.42235337,CAFE CANCUN CENTRAL LA CA
9/23/2025,9/23/2025,CAFE CANCUN CENTRAL LA CA,-8.12,US DOLLAR 5.71 X 1.42206654,CAFE CANCUN CENTRAL LA CA
9/24/2025,9/24/2025,CALG CO-OP WINES & SPl CALGARY,-32.99,AB,CALG CO-OP WINES & SPl CALGARY
9/24/2025,9/24/2025,WESTJET CALGARY AB,-17.98,,WESTJET CALGARY AB
9/24/2025,9/24/2025,WESTJET CALGARY AB,-8.99,,WESTJET CALGARY AB
9/24/2025,9/24/2025,SIDE STREET PUB & GRIL CALGARY,-67.60,AB,SIDE STREET PUB & GRIL CALGARY
9/30/2025,9/30/2025,MCDONALD'S 10426 COLD LAKE AB,-16.99,,MCDONALD'S 10426 COLD LAKE AB
9/30/2025,9/30/2025,WAL-MART #3640 COLD LAKE AB,-206.67,,WAL-MART #3640 COLD LAKE AB
9/30/2025,9/30/2025,SQ *COLD LAKE BREWING COLD,-60.11,LAKE AB,SQ *COLD LAKE BREWING COLD
10/2/2025,10/2/2025,GUARDIAN DRUGS ELK POl ELK,-31.48,POINT AB,GUARDIAN DRUGS ELK POl ELK
10/6/2025,10/6/2025,LS POP MUSIC TORONTO ON,-167.96,,LS POP MUSIC TORONTO ON
10/6/2025,10/6/2025,SP ENDEAVOR SNOW NORTH,-1618.49,VANCOUV BC,SP ENDEAVOR SNOW NORTH
10/6/2025,10/6/2025,LP*RUSHORDERCLOTHING HK HK,-238.90,US DOLLAR 166.06 X 1.43863663,LP*RUSHORDERCLOTHING HK HK
10/8/2025,10/8/2025,PRFO SPORTS SAINT SAUVEUR QC,-157.48,,PRFO SPORTS SAINT SAUVEUR QC
10/9/2025,10/9/2025,SHOPPERS DRUG MART #23 COLD,-54.69,LAKE AB,SHOPPERS DRUG MART #23 COLD
10/9/2025,10/9/2025,PETRO-CANADA 39051 COLD LAKE,-44.99,AB,PETRO-CANADA 39051 COLD LAKE
10/9/2025,10/9/2025,KINOSOO CARWASH COLD LAKE AB,-7.35,,KINOSOO CARWASH COLD LAKE AB
10/9/2025,10/9/2025,BURGER KING #23757 COLD LAKE,-13.11,AB,BURGER KING #23757 COLD LAKE
9/20/2025,9/20/2025,BANCO SANTANDER  LO,-311.30,BARNECHEA CL PESO 208500.00 X 0.00149304,BANCO SANTANDER  LO
9/20/2025,9/20/2025,BANCO SANTANDER  LO,-311.30,BARNECHEA CL PESO 208500.00 X 0.00149304,BANCO SANTANDER  LO
9/20/2025,9/20/2025,BANCO SANTANDER,-221.72,PROVIDENCIA CL PESO 148500.00 X 0.00149306,BANCO SANTANDER
9/20/2025,9/20/2025,BANCO SANTANDER,-311.30,PROVIDENCIA CL PESO 208500.00 X 0.00149304,BANCO SANTANDER
9/20/2025,,CASH ADVANCE FEE,-5.00,,CASH ADVANCE FEE
9/20/2025,,CASH ADVANCE FEE,-5.00,,CASH ADVANCE FEE
9/20/2025,,CASH ADVANCE FEE,-5.00,,CASH ADVANCE FEE
9/20/2025,,CASH ADVANCE FEE,-5.00,,CASH ADVANCE FEE
10/1/2024,PAYMENT-THANKYOU,1972.43,,PAYMENT-THANKYOU
10/3/2024,ADJUSTMENTS SALE REVERSAL (TC 256),-130.00,,ADJUSTMENTS SALE REVERSAL (TC 256)
10/3/2024,ADJUSTMENTS SALE REVERSAL (TC 256),-500.00,,ADJUSTMENTS SALE REVERSAL (TC 256)
12/8/2024,,PAYMEW-THANKYOU,-12.00,,PAYMEW-THANKYOU
C3 16,C3 16,AMZN MKTP CA NWWAMAZON.CA ON CREDT,4.43,,AMZN MKTP CA NWWAMAZON.CA ON CREDT
10011,,,54.43,,
12/2/2024,12/2/2024,CHECKER CAB CALGARY AB,-3.19,,CHECKER CAB CALGARY AB
12/3/2024,12/3/2024,VVESTJETCALGARY AB,-9.44,,VVESTJETCALGARY AB
12/4/2024,12/4/2024,SHEN HENG CHANG 00248TAOYUAN CITY TW,-10.67,TWNEWDOLLAR 24Q00 X Q04445833,SHEN HENG CHANG 00248TAOYUAN CITY TW
12/4/2024,12/4/2024,TAIWANYI CHUNTOU TZTA(JYUAN COUNTTW,-67.17,TWNEWDOLLAR 150Q00 X Q0447&XX),TAIWANYI CHUNTOU TZTA(JYUAN COUNTTW
12/4/2024,12/4/2024,GATUTKACACELL BADUNG (KAB) IK,-4.94,ID RUPIAH 757Q5Q00 X Q00009106,GATUTKACACELL BADUNG (KAB) IK
12/4/2024,12/4/2024,D'DJABU GUESTHOUSE E BADUNG (KAB) IK,-630.88,ID RUPIAH 6927674.00 X 000009106,D'DJABU GUESTHOUSE E BADUNG (KAB) IK
12/5/2024,12/5/2024,BOCASTACOS&TEQUILA BADUNG IK,-16.67,ID RUPIAH 18300Q00 X Q00009109,BOCASTACOS&TEQUILA BADUNG IK
12/5/2024,12/5/2024,BAMBOO BOU11QUE BADUNG IK,-187.60,ID RUPIAH 2060000.00 X Q00009106,BAMBOO BOU11QUE BADUNG IK
12/5/2024,12/5/2024,THETRUE INKBALI BADUNG (KAB) IK,469.00,ID RUPIAH X Q00009106 5150000.00,THETRUE INKBALI BADUNG (KAB) IK
12/4/2024,12/4/2024,00014877 DENPASAR,-273.20,,00014877 DENPASAR
12/5/2024,12/5/2024,BANKCENTRALAS BADUNG,-38.43,,BANKCENTRALAS BADUNG
12/5/2024,12/5/2024,JL RAYA PADONAN 98646 BADUNG ID,-1.45,,JL RAYA PADONAN 98646 BADUNG ID
12/5/2024,12/5/2024,JL RAYA PADONAN 98646 BADUNG ID,-1.45,,JL RAYA PADONAN 98646 BADUNG ID
12/6/2024,12/6/2024,22 BALI,-143.92,,22 BALI
