Date,,Payee,Amount,Memo,OrigPayee
7/3/2025,7/3/2025,AMSTERDAM NL,-1.39,US DOLLAR 0.99 X 1.40404040 JOBSEEKER 9VSRNZTN AMSTERDAM NL US DOLLAR 0.99 X 1.40404040,AMSTERDAM NL
7/3/2025,7/3/2025,STARBUCKS 04619 CALGARY AB,-29.57,,STARBUCKS 04619 CALGARY AB
7/3/2025,7/3/2025,ACE EDMONTON TRAIL CALGARY,-21.59,AB,ACE EDMONTON TRAIL CALGARY
7/4/2025,7/4/2025,TST-LEOPOLDS TAVERN C,-46.92,CALGARY AB,TST-LEOPOLDS TAVERN C
7/4/2025,7/4/2025,THE HOME DEPOT #7250 CALGARY,-52.90,AB,THE HOME DEPOT #7250 CALGARY
7/5/2025,7/5/2025,CALG CO-OP WINES & SPl CALGARY,-31.94,AB,CALG CO-OP WINES & SPl CALGARY
7/5/2025,7/5/2025,CALG CO-OP GROCERY #4,-36.74,CALGARY AB,CALG CO-OP GROCERY #4
7/5/2025,7/5/2025,COMFORT INN & SUITES CALGARY,-437.09,AB,COMFORT INN & SUITES CALGARY
7/11/2025,,OVERLIMIT FEE,-25.00,,OVERLIMIT FEE
7/22/2025,,PAYMENT - THANK YOU,1524.17,,PAYMENT - THANK YOU
8/7/2025,,PAYMENT - THANK YOU,1524.17,,PAYMENT - THANK YOU
7/16/2025,7/16/2025,ESSO TRAVEL CENTER COLD LAKE,-81.88,AB,ESSO TRAVEL CENTER COLD LAKE
7/16/2025,7/16/2025,THE POUR HOUSE BAR AND COLD,-56.70,LAKE AB,THE POUR HOUSE BAR AND COLD
7/16/2025,7/16/2025,WAL-MART #3640 COLD LAKE AB,-244.97,,WAL-MART #3640 COLD LAKE AB
7/16/2025,7/16/2025,LIQUOR WAREHOUSE COLD LAKE,-39.13,AB,LIQUOR WAREHOUSE COLD LAKE
7/16/2025,7/16/2025,BURGER KING #23757 COLD LAKE,-6.30,AB,BURGER KING #23757 COLD LAKE
7/19/2025,7/19/2025,ONLYFANS.COM LONDON GB,-19.38,US DOLLAR 13.68 X 1.41666666,ONLYFANS.COM LONDON GB
7/19/2025,7/19/2025,ONLYFANS.COM LONDON GB,-23.80,US DOLLAR 16.80 X 1.41666666,ONLYFANS.COM LONDON GB
7/19/2025,7/19/2025,ONLYFANS.COM LONDON GB,-24.20,US DOLLAR 17.09 X 1.41603276,ONLYFANS.COM LONDON GB
7/20/2025,7/20/2025,ONLYFANS.COM LONDON GB,-31.72,US DOLLAR 22.40 X 1.41607142,ONLYFANS.COM LONDON GB
7/22/2025,7/22/2025,RAO*AB HUNT&FISH,-35.70,ALBERTAPARKS. BC,RAO*AB HUNT&FISH
7/24/2025,7/24/2025,7-ELEVEN #32239 02804 COLD LAKE,-12.28,AB,7-ELEVEN #32239 02804 COLD LAKE
7/24/2025,7/24/2025,PETRO-CANADA 39051 COLD LAKE,-43.38,,PETRO-CANADA 39051 COLD LAKE
7/24/2025,7/24/2025,PETRO-CANADA 39051 COLD LAKE,-81.25,AB,PETRO-CANADA 39051 COLD LAKE
7/24/2025,7/24/2025,BONNYVILLE HOME HARDWA,-25.35,BONNYVILLE AB,BONNYVILLE HOME HARDWA
7/24/2025,7/24/2025,02'S TAP HOUSE & GRILL COLD LAKE,-41.06,AB,02'S TAP HOUSE & GRILL COLD LAKE
7/24/2025,7/24/2025,CANNA CABANA COLD LAKE AB,-47.94,,CANNA CABANA COLD LAKE AB
7/24/2025,7/24/2025,WAL-MART #3640 COLD LAKE AB,-245.43,,WAL-MART #3640 COLD LAKE AB
7/24/2025,7/24/2025,LIQUOR WAREHOUSE COLD LAKE,-33.88,,LIQUOR WAREHOUSE COLD LAKE
7/31/2025,7/31/2025,ONLYFANS.COM LONDON GB,-142.23,US DOLLAR 100.00 X 1.42230000,ONLYFANS.COM LONDON GB
8/3/2025,8/3/2025,BURGER KING #23757 COLD LAKE,-6.30,AB,BURGER KING #23757 COLD LAKE
8/7/2025,8/7/2025,BKG*BOOKING.COM FLIGHT,-1160.25,(917)421-7240N H,BKG*BOOKING.COM FLIGHT
8/7/2025,8/7/2025,CARS ON BOOKING LONDON GB,-579.24,,CARS ON BOOKING LONDON GB
8/9/2025,8/9/2025,KINOSOO CARWASH COLD LAKE AB,-11.55,,KINOSOO CARWASH COLD LAKE AB
8/9/2025,8/9/2025,THE POUR HOUSE BAR AND COLD,-58.05,LAKE AB,THE POUR HOUSE BAR AND COLD
8/9/2025,8/9/2025,WAL-MART #3640 COLD LAKE AB,-101.63,,WAL-MART #3640 COLD LAKE AB
8/10/2025,8/10/2025,WALLY'S PUB AND RESTAU ELK,-49.06,POINT AB,WALLY'S PUB AND RESTAU ELK
8/13/2025,,OVERLIMIT FEE,-25.00,,OVERLIMIT FEE
8/26/2025,,PAYMENT - THANK YOU,500.00,,PAYMENT - THANK YOU
9/9/2025,,PAYMENT - THANK YOU,6000.00,,PAYMENT - THANK YOU
8/12/2025,8/14/2025,LIQUOR WAREHOUSE COLD LAKE,-39.13,AB,LIQUOR WAREHOUSE COLD LAKE
8/14/2025,8/14/2025,ROB & KATHY'S NF #7031 COLD,-31.00,LAKE AB,ROB & KATHY'S NF #7031 COLD
8/14/2025,8/14/2025,SHELL C11993 COLD LAKE AB,-81.79,,SHELL C11993 COLD LAKE AB
8/14/2025,8/14/2025,THE POUR HOUSE BAR AND COLD,-85.05,LAKE AB,THE POUR HOUSE BAR AND COLD
8/14/2025,8/14/2025,WAL-MART #3640 COLD LAKE AB,-153.43,,WAL-MART #3640 COLD LAKE AB
